sum = 488117
nV = 500
366 367 -5581
329 407 -5566
341 343 -5565
115 364 -5521
20 115 -7690
20 207 -9098
362 363 -5503
40 81 -5474
40 336 -7189
336 461 -8129
461 462 -9989
246 336 -6729
179 180 -5463
63 498 -5460
220 319 -5456
318 319 -5649
129 318 -7647
32 376 -5448
376 427 -7114
150 151 -5445
298 441 -5427
298 418 -9505
255 298 -6885
255 440 -8229
254 255 -8096
254 280 -8438
279 280 -9809
439 440 -7217
271 439 -5855
497 498 -5404
30 490 -5396
148 308 -5387
202 217 -5366
79 181 -5362
312 313 -5356
367 380 -5349
73 380 -9971
48 380 -8760
380 381 -5578
256 345 -5305
353 436 -5275
7 416 -5246
321 416 -8708
321 357 -7452
416 417 -5636
35 36 -5222
208 209 -5201
305 322 -5192
40 322 -5174
292 463 -5174
463 473 -5410
472 473 -9211
471 472 -5564
98 146 -5169
57 258 -5160
286 360 -5149
243 463 -5135
83 260 -5134
106 378 -5125
360 361 -5118
29 142 -5099
231 440 -5095
382 383 -5091
337 383 -6903
109 110 -5089
97 235 -5079
250 462 -5069
45 496 -5065
113 373 -5059
113 114 -9800
226 227 -5058
32 333 -5050
58 333 -6694
333 451 -5301
220 399 -5050
196 296 -5022
30 373 -5022
232 233 -5000
32 443 -4981
258 474 -4979
335 442 -4979
47 418 -4973
150 460 -4943
89 296 -4929
164 405 -4926
132 295 -4924
271 272 -4915
196 263 -4895
179 288 -4893
193 478 -4892
399 424 -4886
92 196 -4884
92 409 -8102
92 141 -7312
105 478 -4873
452 453 -4855
492 493 -4854
410 493 -7145
99 444 -4849
41 66 -4827
66 108 -8381
42 43 -4823
239 421 -4822
145 309 -4818
442 488 -4811
152 227 -4796
152 414 -10000
60 152 -5617
211 421 -4794
478 480 -4790
248 450 -4786
193 248 -4769
141 142 -4769
32 433 -4768
325 420 -4767
370 420 -9950
355 420 -8857
191 213 -4766
167 314 -4689
454 498 -4686
57 421 -4680
38 456 -4670
268 269 -4668
33 34 -4667
19 240 -4667
260 365 -4664
169 394 -4660
108 477 -4659
274 275 -4649
273 274 -7658
295 296 -4634
290 467 -4613
184 290 -4607
132 462 -4599
235 236 -4598
22 416 -4591
350 351 -4579
90 316 -4576
139 186 -4568
308 496 -4559
41 42 -4557
69 302 -4544
217 270 -4519
222 223 -4499
46 305 -4498
376 470 -4493
158 252 -4490
59 158 -9038
59 403 -5780
123 229 -4484
99 100 -4478
60 75 -4458
320 357 -4449
170 320 -7051
71 170 -9236
170 224 -8631
170 218 -7389
218 244 -8687
244 245 -9103
385 386 -4429
351 352 -4412
305 355 -4403
16 17 -4370
422 423 -4343
8 294 -4333
208 236 -4332
358 359 -4330
358 395 -6761
50 228 -4294
112 410 -4292
428 433 -4289
259 317 -4276
120 495 -4274
8 318 -4261
187 387 -4246
187 188 -9471
287 378 -4225
3 136 -4218
406 407 -4215
68 485 -4213
58 59 -4184
244 500 -4182
203 211 -4145
132 319 -4119
354 359 -4117
112 113 -4112
72 322 -4104
59 343 -4103
427 428 -4103
265 266 -4101
